Id,SalePrice
1461,141827.0
1462,154642.0
1463,167254.6
1464,191459.9
1465,215203.0
1466,182727.5
1467,177786.0
1468,179898.4
1469,184197.25
1470,120938.5
1471,211473.0
1472,89802.7
1473,107596.08333333334
1474,147164.1666666667
1475,159343.0
1476,465530.38
1477,282918.67
1478,332830.46
1479,334263.73
1480,349571.44
1481,287879.28
1482,216028.7
1483,193009.8
1484,191650.0385714286
1485,241931.04
1486,186752.4
1487,354452.86
1488,261105.4
1489,210884.40966666664
1490,174051.64
1491,209221.4
1492,91685.18
1493,209131.4
1494,323604.97
1495,292701.7
1496,202427.0
1497,172994.9714285714
1498,190549.2214285714
1499,153912.258
1500,145289.97333333333
1501,173021.31
1502,160044.75
1503,339871.65
1504,223668.35
1505,182774.0
1506,186965.0
1507,211288.0
1508,213582.1
1509,173870.0
1510,154970.0
1511,164071.0
1512,146152.0
1513,163072.5
1514,131146.87
1515,141024.18
1516,223721.0
1517,144424.0
1518,137203.415
1519,205244.0
1520,138210.83
1521,147183.0
1522,154915.0
1523,118104.36
1524,145132.0
1525,145778.0
1526,145785.0
1527,88731.52
1528,147831.16666666666
1529,140414.14
1530,161710.5
1531,110336.96
1532,97730.56
1533,129325.90666666666
1534,148604.84
1535,133228.25
1536,132336.33
1537,91450.76
1538,236570.0
1539,255012.0
1540,112326.75
1541,163322.5
1542,102055.41666666666
1543,176509.0
1544,71242.6
1545,110767.5
1546,132155.0
1547,124760.17333333334
1548,114276.0
1549,119933.37
1550,135877.05533333332
1551,112396.0
1552,121881.5
1553,138841.49
1554,114460.25
1555,144454.32
1556,112039.0
1557,104706.87
1558,105452.34
1559,96489.76
1560,107337.8
1561,129645.0
1562,125863.0
1563,123589.0
1564,134864.5833333333
1565,160260.0
1566,230519.0
1567,101044.65
1568,229661.65
1569,108104.04
1570,141715.66666666666
1571,117400.98
1572,127354.0
1573,253991.55800000002
1574,145425.0
1575,201655.92
1576,193586.0
1577,213032.33666666667
1578,197889.0
1579,149520.0
1580,211267.5
1581,145668.5
1582,132082.64333333334
1583,294618.04
1584,222973.9
1585,138564.78373015873
1586,64282.96
1587,128322.16
1588,136458.0
1589,111195.86
1590,129979.0
1591,106690.08
1592,95301.14
1593,154603.0
1594,120911.0
1595,112911.5
1596,201456.0
1597,156187.64
1598,238398.2
1599,229575.44
1600,233433.0
1601,92215.22
1602,114360.25
1603,106721.8
1604,251830.0
1605,304435.0
1606,179115.0
1607,195167.0
1608,264495.84
1609,227843.28633333335
1610,159024.32
1611,161074.0
1612,152966.3
1613,156320.0
